"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Willson Contreras","BOS","MLB","BOS",3.0064538553504487,3.8798591367054307,0.8734052813549822,7,6,1,0.8571428571428571,2.1633173082107353,1.6417290857526523,0.5215882224580825,0.7588942590722001,4.358270914247348,0.47841177754191755,1,0,0.0901382211754473,0.20152844549121937,1,1,0,1,1.2028584214522378,0.6647265700486278,0.53813185140361,0.5526224518144776,0.33527342995137227,-0.53813185140361,1,1,0.02505955044692162,-0.004226217113588286
"Christian Cairo","PHI","MLB","PHI",5.099705037745693,3.205253762587423,-1.89445127515827,4,4,0,1,2.617604764544407,1.7061755009784918,0.9114292635659149,0.6518079138946903,2.293824499021508,-0.9114292635659149,2,0,0.07698837542777667,0.04065868339575274,5,2,3,0.4,2.466319953809229,1.6803856144837495,0.7859343393254793,0.6813331789690934,0.3196143855162505,2.2140656606745206,0,0,0.0352331421972747,0.03619542923129673
"Austin Hedges","CLE","MLB","CLE",4.720328629371993,3.0723517549805015,-1.6479768743914918,3,3,0,1,1.480982759431031,0.7043155022252648,0.7766672572057662,0.4755730596727886,2.2956844977747353,-0.7766672572057662,1,1,0.052892241408251106,0.05425061573460604,1,0,1,,1.5074044809633467,1.077690677677419,0.4297138032859275,0.7149313215446278,-1.077690677677419,0.5702861967140727,0,0,0.03140426002006972,-0.01057092668673639
"Nick Madrigal","LAA","MLB","LAA",1.9357849329506343,2.797246437373677,0.8614615044230429,3,3,0,1,0.5981035192559225,0.4004285409411228,0.19767497831479977,0.6694970486702376,2.599571459058877,-0.19767497831479977,0,0,0.03738146995349516,0.15011853004650483,1,1,0,1,0.7916842235640486,0.4651113595705028,0.32657286399354574,0.5874960567947639,0.5348886404294972,-0.32657286399354574,0,0,0.02399043101709238,0.006312599285937923
"Arjun Nimmala","TOR","MLB","TOR",3.562936151205049,2.7743273542283795,-0.7886087969766697,4,3,1,0.75,2.6033454664100746,0.9145090560908478,1.688836410319227,0.3512822511996169,2.0854909439091522,-0.688836410319227,1,2,0.07438129904028784,0.03990441524542644,1,0,1,,1.1720313155375068,0.4803200562570884,0.6917112592804188,0.40981844929357386,-0.4803200562570884,0.3082887407195814,0,0,0.021309660282500125,-0.0031278421006819424
"Angel Martinez","CLE","MLB","CLE",2.524223237335267,2.6468572062010867,0.12263396886581973,3,3,0,1,1.7409336715569446,1.047038232677929,0.6938954388790158,0.6014233912435883,1.952961767322071,-0.6938954388790158,1,0,0.04835926865435957,0.034974064678973765,0,0,0,,0.12263396886581973,0,0.12263396886581973,,0,-0.12263396886581973,0,0,0.002404587624819995,-0.002404587624819995
"Agustin Ramirez","MIA","MLB","MIA",2.535740988702635,2.637407365276176,0.10166637657354116,3,3,0,1,0.6321931800036243,0.49739290736372394,0.13480027263990035,0.7867736051199926,2.502607092636276,-0.13480027263990035,0,0,0.04863024461566341,0.18213898615356736,0,0,0,,0.7017248926147087,0.3000292580205838,0.40169563459412494,0.427559662167092,-0.3000292580205838,-0.40169563459412494,0,0,0.020638967429844373,-0.020638967429844373
"Masyn Winn","STL","MLB","STL",4.430035073665296,2.5762465427870485,-1.853788530878248,3,3,0,1,2.5923850158499646,1.508069236531458,1.0843157793185068,0.5817304248061347,1.491930763468542,-1.0843157793185068,1,0,0.060288023624417784,0.009479418236047334,2,0,2,,1.4604772453947166,0.6571328881364824,0.803344357258234,0.4499439414127141,-0.6571328881364824,1.1966556427417656,0,0,0.018724067248650212,0.006916958392375429
"Juan Brito","CLE","MLB","CLE",2.4594064967331453,2.5731053881202675,0.11369889138712208,3,3,0,1,0.8917543124330889,0.6593244621564108,0.23242985027667795,0.73935662879778,2.3406755378435893,-0.23242985027667795,0,1,0.04954190624628271,0.11712476042038394,0,0,0,,0.9788590631269828,0.43258008586993035,0.5462789772570524,0.4419227467619756,-0.43258008586993035,-0.5462789772570524,0,0,0.02039289714847881,-0.02039289714847881
"Brooks Lee","MIN","MLB","MIN",3.3991611386389726,2.5427075977509235,-0.8564535408880494,3,3,0,1,1.897162048133502,1.1772272251912894,0.7199348229422127,0.6205201218048236,1.8227727748087106,-0.7199348229422127,1,0,0.06541938097012076,0.0380288948919482,1,0,1,,0.9621146524041417,0.40928409664609555,0.5528305557580462,0.4254005441278462,-0.40928409664609555,0.4471694442419538,0,0,0.012659403321107128,0.0004984914157349771
