"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Dillon Dingler","DET","MLB","DET",6.066239164659834,7.783601424174704,1.7173622595148705,7,7,0,1,7.577439443465437,3.3969190096453667,4.18052043382007,0.4482937851221986,3.603080990354634,-4.18052043382007,2,0,0.021284942256925385,-0.0016220209086107776,1,1,0,1,6.106405526795149,2.694521633640139,3.4118838931550095,0.4412614952964508,-1.694521633640139,-3.4118838931550095,0,1,0.04211314156410448,-0.03521658983996655
"Logan O'Hoppe","LAA","MLB","LAA",7.747174272304338,5.353355286858818,-2.3938189854455207,12,10,2,0.8333333333333334,13.620690816812912,8.133667764977051,5.487023051835868,0.5971553039686601,1.8663322350229494,-3.487023051835869,0,1,0.027684330928481528,-0.0032940870260425043,9,2,7,0.2222222222222222,6.474232431953753,1.934025708699638,4.540206723254117,0.2987266411928927,0.0659742913003623,2.459793276745883,1,1,0.04021262380095499,0.01568799731705743
"Austin Wells","NYY","MLB","NYY",-1.7265073913313316,4.3291429930673235,6.055650384398655,7,5,2,0.7142857142857143,7.415878392279688,3.043367699606182,4.372510692673505,0.41038532977758707,1.9566323003938186,-2.3725106926735045,2,0,0.02200557386433142,-0.0012340605112156915,6,6,0,1,9.241111536891436,4.592730576246389,4.648380960645044,0.4969889777773758,1.4072694237536116,-4.648380960645044,3,0,0.05191635694882829,-0.01820849178028897
"Hunter Goodman","COL","MLB","COL",3.9579645707426816,4.259945796047564,0.30198122530488225,8,6,2,0.75,5.771180373244149,2.7556172885982924,3.015563084645856,0.4774789749032362,3.2443827114017076,-1.0155630846458559,3,1,0.020108642415484837,0.007765922044445475,5,2,3,0.4,3.8517993022825294,1.2749090384888242,2.5768902637937052,0.3309905159734903,0.7250909615111758,0.42310973620629355,0,0,0.033205166398987324,0.009898281876874747
"Agustin Ramirez","MIA","MLB","MIA",3.871352336527385,4.03535667714039,0.16400434061300534,9,7,2,0.7777777777777778,4.839064276253868,2.9018537995567395,1.9372104766971299,0.5996725056529301,4.09814620044326,0.06278952330286999,0,0,0.02229983537444179,0.019174819003438395,2,1,1,0.5,2.7368930622745737,1.286444360830784,1.4504487014437895,0.4700382263973615,-0.28644436083078406,-0.4504487014437894,0,0,0.036011750819402284,-0.009695961345718075
"Will Smith","LAD","MLB","LAD",1.5572534674333849,3.1607437055256886,1.6034902380923037,11,8,3,0.7272727272727273,9.983770653298812,5.911513473886561,4.072257179412253,0.5921123069802584,2.0884865261134373,-1.072257179412251,2,1,0.025403996573279422,0.0025858253096722335,4,2,2,0.5,9.236187407865982,3.816348584886839,5.41983882297914,0.4131952304948525,-1.8163485848868388,-3.4198388229791425,1,0,0.04712340514217338,-0.026715241876867257
"James McCann","AZ","MLB","AZ",1.1700169242012042,2.5181127524095777,1.3480958282083735,7,5,2,0.7142857142857143,3.5274981333845847,2.0046926904875035,1.5228054428970816,0.5683043944133939,2.9953073095124965,0.477194557102919,1,0,0.018763287943535024,0.018470754609656463,7,4,3,0.5714285714285714,4.064325244007933,1.8581147078997797,2.206210536108153,0.4571766766548058,2.14188529210022,0.7937894638918463,2,0,0.04618551413645378,0.03335994040900076
"Salvador Perez","KC","MLB","KC",-0.6360151605271191,2.372334066990403,3.008349227517522,10,6,4,0.6,8.872491956265264,4.250078944637431,4.622413011627835,0.47901750326595216,1.7499210553625693,-0.6224130116278338,1,1,0.02158757166974517,0.0027433285735638333,9,5,4,0.5555555555555556,5.075862994348604,1.533756883415541,3.5421061109330636,0.3021667222151592,3.466243116584459,0.45789388906693707,1,1,0.03705009484925988,0.028643335807674423
"J.T. Realmuto","PHI","MLB","PHI",5.4783446408703025,2.3496162173946282,-3.128728423475674,3,3,0,1,7.1811477217648845,3.915765752185129,3.265381969579757,0.5452841111062349,-0.9157657521851288,-3.265381969579757,0,1,0.019304160542378723,-0.011239644413346463,6,1,5,0.16666666666666666,9.183854089205091,4.156291256340384,5.027562832864709,0.4525650359826363,-3.156291256340384,-0.02756283286471038,1,0,0.06163660462553753,-0.021368148249698602
"Mitch Garver","SEA","MLB","SEA",-2.797966821964181,2.339476277402829,5.13744309936701,3,3,0,1,2.4144699662578786,1.5374968444275248,0.8769731218303543,0.6367844147634809,1.4625031555724748,-0.8769731218303543,0,0,0.020461609883541343,0.004962118930017978,6,6,0,1,2.6420030769953575,1.7522799888141736,0.8897230881811835,0.6632391930470309,4.247720011185827,-0.8897230881811835,3,2,0.05284006153990715,0.06715993846009286
