"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Pedro Pages","STL","MLB","STL",3.3460544011667412,6.214679094189959,2.868624693023218,8,8,0,1,8.480287411250785,5.132804158530413,3.347483252720373,0.6052629951811219,2.8671958414695857,-3.347483252720373,1,0,0.019906777960682593,-0.0011274352376778993,8,5,3,0.625,9.118303236838187,4.124839271907485,4.993463964930703,0.45236917053197184,0.8751607280925144,-1.9934639649307033,2,1,0.05180854111839879,-0.006353995663853337
"P.J. Higgins","CIN","MLB","CIN",5.661374387165942,5.537043344224243,-0.12433104294169939,7,7,0,1,4.104548200832529,2.7837524283041426,1.3207957725283854,0.6782116549976224,4.216247571695857,-1.3207957725283854,2,0,0.032319277171909674,0.022798833064310797,3,1,2,0.3333333333333333,2.2680796245371098,0.6962053337394047,1.5718742907977052,0.306958065408084,0.30379466626059526,0.42812570920229465,0,0,0.05968630590887131,0.01926106251218132
"Patrick Bailey","SF","MLB","SF",4.435663279932045,4.6130220608866805,0.1773587809546362,14,10,4,0.7142857142857143,7.537588777393893,4.4622833582536074,3.075305419140286,0.5920040864575308,5.537716641746394,0.924694580859714,4,1,0.02076470737574075,0.017802785737206908,7,4,3,0.5714285714285714,8.438877714823366,4.630759466934365,3.8081182478890017,0.548741150591645,-0.6307594669343657,-0.8081182478890019,1,0,0.05375081347021252,-0.009164826209066028
"Shea Langeliers","ATH","MLB","ATH",0.11060698432758098,4.554529312353473,4.443922328025892,6,5,1,0.8333333333333334,10.583472168717963,5.014471428182242,5.569000740535716,0.47380210844260895,-0.014471428182241786,-4.569000740535715,4,0,0.021380751855995885,-0.009259539734783762,3,3,0,1,9.872817651352735,4.2144476616634226,5.658369989689314,0.42687384802310974,-1.2144476616634217,-5.658369989689314,1,0,0.045496855536187715,-0.03167197074356099
"Ryan Jeffers","MIN","MLB","MIN",6.755813145066773,4.523428114533294,-2.2323850305334783,20,13,7,0.65,10.863987119612565,6.170279502539635,4.693707617072927,0.5679571813372769,6.829720497460365,2.3062923829270714,3,1,0.021771517273772675,0.018308643046868606,10,4,6,0.4,10.3055609810157,5.268973005774589,5.036587975241113,0.5112747394810221,-1.2689730057745907,0.9634120247588874,3,1,0.045002449698758516,-0.0013343274280161594
"Brandon Valenzuela","TOR","MLB","TOR",-0.36534095279300516,4.323020137569972,4.688361090362977,6,5,1,0.8333333333333334,5.642543672774902,2.6597617676024634,2.982781905172436,0.47137637240376734,2.3402382323975366,-1.9827819051724356,1,0,0.01986811152385529,0.001258649039524992,10,8,2,0.8,8.47209164467034,4.891865277153681,3.58022636751666,0.577409391012794,3.1081347228463185,-1.5802263675166583,4,1,0.05685967546758617,0.010254418492145374
"Henry Davis","PIT","MLB","PIT",-2.858396236991073,4.23514547592544,7.093541712916513,11,9,2,0.8181818181818182,10.557112566979525,6.660983545527042,3.8961290214524817,0.6309474776617641,2.339016454472958,-1.896129021452482,3,0,0.02280153902155405,0.0009565603304977868,19,13,6,0.6842105263157895,9.69386655417219,4.800162420627839,4.89370413354435,0.49517521143943055,8.199837579372161,1.1062958664556486,3,2,0.057022744436307005,0.054741961446045935
"Brian O'Keefe","SEA","MLB","SEA",4.268255447279723,4.213891004227422,-0.05436444305230126,4,4,0,1,4.185479518610862,1.9857942571917206,2.1996852614191424,0.47444844691314964,2.0142057428082794,-2.1996852614191424,1,0,0.03244557766365009,-0.001437825725665595,0,0,0,,1.7184386645824925,0.8864015538173973,0.832037110765096,0.5158179759838883,-0.8864015538173973,-0.832037110765096,0,0,0.04406252986108955,-0.04406252986108955
"Brett Sullivan","COL","MLB","COL",6.53504383502625,4.001926697383626,-2.5331171376426243,11,7,4,0.6363636363636364,7.370854437566325,3.184463870091348,4.186390567474975,0.43203456221593484,3.815536129908651,-0.18639056747497468,0,0,0.018110207463307923,0.008916819563719104,8,3,5,0.375,8.974333831737496,4.75372548469006,4.220608347047438,0.5297023237400234,-1.7537254846900616,0.7793916529525625,2,0,0.057161361985589146,-0.006205947972850295
"Jeferson Quero","MIL","MLB","MIL",3.2732519012555263,3.9705461462117935,0.6972942449562674,6,6,0,1,5.416656907911886,3.7230553808500466,1.6936015270618403,0.6873345393930959,2.2769446191499534,-1.6936015270618403,1,1,0.023347659085827095,0.0025144098796901476,8,4,4,0.5,3.8204612910131033,1.561583523028418,2.258877767984686,0.4087421397781837,2.438416476971582,1.7411222320153146,0,0,0.04108022893562477,0.04494127644071932
