"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Matthew Liberatore","STL","MLB","STL",2.0397179885271015,2.2436256103084156,0.2039076217813141,3,3,0,1,1.6881669691638865,1.2222706794277356,0.4658962897361512,0.7240223874496848,1.7777293205722642,-0.4658962897361512,1,0,0.023446763460609536,0.018219903206057132,2,1,1,0.5,1.2578114201493942,0.52695189918404,0.7308595209653541,0.41894348448629304,0.47304810081596005,0.26914047903464594,1,0,0.04337280759135842,0.02559270965002089
"Jimmy Herget","COL","MLB","COL",2.0796648067942813,2.1455700536191418,0.06590524682486032,2,2,0,1,1.1677025423693135,0.511066244375086,0.6566362979942277,0.4376681781801321,1.488933755624914,-0.6566362979942277,0,0,0.014970545414991198,0.010670480226034442,0,0,0,,1.0757475945386936,0.5049211738569167,0.570826420681777,0.4693676996539686,-0.5049211738569167,-0.570826420681777,0,0,0.041374907482257445,-0.041374907482257445
"Jeff Brigham","CHC","MLB","CHC",2.01740503033196,1.3778817880103462,-0.6395232423216137,1,1,0,1,2.795382476039134,1.2087503440143936,1.58663213202474,0.43240964496819423,-0.20875034401439374,-1.58663213202474,0,0,0.06211961057864742,-0.0398973883564252,1,0,1,,0.5013744735279084,0.07044885792476105,0.4309256156031474,0.14051145729268882,-0.07044885792476105,0.5690743843968527,0,0,0.029492616089876966,0.02933091332188774
"Justin Verlander","DET","MLB","DET",-0.3516503889943057,1.300736718946793,1.6523871079410988,1,1,0,1,1.2388588110344034,0.4690610460438053,0.7697977649905984,0.378623489509798,0.5309389539561947,-0.7697977649905984,0,0,0.013613833088290148,-0.0026248220992791584,2,2,0,1,1.2979947803713427,0.8228038362151218,0.4751909441562209,0.633903809674586,1.177196163784878,-0.4751909441562209,1,1,0.04326649267904476,0.023400173987621908
"Brayan Bello","BOS","MLB","BOS",3.9058381613820603,1.193209310557822,-2.712628850824238,1,1,0,1,1.3738987948048065,0.5903447421234921,0.7835540526813142,0.42968575586192576,0.4096552578765079,-0.7835540526813142,0,0,0.019627125640068663,-0.005341411354354378,2,0,2,,2.694017058331771,1.7033229545780049,0.9906941037537668,0.6322613842811974,-1.7033229545780049,1.0093058962462333,0,0,0.08418803307286785,-0.021688033072867846
"Martin Perez","ATL","MLB","ATL",-0.7866532968900657,1.1214236014710957,1.9080768983611613,1,1,0,1,1.3215204316462783,0.6000484150875913,0.7214720165586871,0.4540591281968177,0.3999515849124087,-0.7214720165586871,0,0,0.020976514788036162,-0.00510349891502029,2,2,0,1,1.6354115615650338,0.8636673316019364,0.7717442299630978,0.5281039659371345,1.1363326683980635,-0.7717442299630978,0,0,0.04810034004603041,0.010723189365734302
"Cade Gibson","MIA","MLB","MIA",1.50591978080313,0.9120527684682542,-0.5938670123348757,1,1,0,1,1.2937178099816158,0.690832520756681,0.6028852892249352,0.5339901139387561,0.30916747924331894,-0.6028852892249352,0,1,0.01874953347799443,-0.004256779854806026,0,0,0,,1.2055439587897565,0.8997054855623161,0.30583847322744034,0.7463066601615497,-0.8997054855623161,-0.30583847322744034,0,0,0.050230998282906524,-0.050230998282906524
"Jose Berrios","TOR","MLB","TOR",0.1252919677149109,0.835962503385367,0.7106705356704561,1,1,0,1,0.5820148264659984,0.3730261615403156,0.20898866492568272,0.6409220943826041,0.6269738384596844,-0.20898866492568272,0,0,0.008954074253323053,0.006430541131292332,0,0,0,,0.7106705356704561,0,0.7106705356704561,,0,-0.7106705356704561,0,0,0.030898718942193745,-0.030898718942193745
"Jack Flaherty","DET","MLB","DET",1.611032218953083,0.7697697859030486,-0.8412624330500346,1,1,0,1,1.3538623091405222,0.7920462616187367,0.5618160475217853,0.5850271894499778,0.20795373838126335,-0.5618160475217853,0,0,0.017582627391435353,-0.004595614404422366,1,0,1,,0.6068624050650993,0.22406241905756685,0.3827999860075324,0.3692145323016529,-0.22406241905756685,0.6172000139924677,0,0,0.022476385372781453,0.014560651664255584
"Oscar Rayo","KC","MLB","KC",0.5563033059416699,0.7072458791809133,0.15094257323924345,1,1,0,1,0.5846522381919668,0.4387031795055267,0.14594905868644006,0.7503660310310508,0.5612968204944733,-0.14594905868644006,0,0,0.053150203471996976,0.03775888743709393,0,0,0,,0.15094257323924345,0,0.15094257323924345,,0,-0.15094257323924345,0,0,0.037735643309810864,-0.037735643309810864
"Cristopher Sanchez","PHI","MLB","PHI",0.4638729225086229,0.483219669919959,0.0193467474113361,1,1,0,1,0.7409571877903522,0.6288687589351966,0.1120884288551556,0.8487248241839443,0.3711312410648034,-0.1120884288551556,1,0,0.032215529903928355,0.011262730965636859,0,0,0,,0.335051025284704,0.15785213893668396,0.17719888634802006,0.4711286551132078,-0.15785213893668396,-0.17719888634802006,0,0,0.020940689080294,-0.020940689080294
"Casey Mize","DET","MLB","DET",1.5009750630590273,0.3760214213428914,-1.1249536417161359,1,1,0,1,2.661929461296977,1.642954019977043,1.0189754413199346,0.6172041911195285,-0.6429540199770432,-1.0189754413199346,0,0,0.021295435690375814,-0.013295435690375815,2,0,2,,1.2589938268912073,0.19197373430367154,1.0670200925875357,0.15248187100146954,-0.19197373430367154,0.9329799074124644,0,0,0.031474845672280184,0.01852515432771982
"Enmanuel De Jesus","DET","MLB","DET",0.22425275641287518,0.3722677142891423,0.14801495787626712,1,1,0,1,1.4196568173117714,1.0236945515113147,0.39596226580045696,0.7210859265619972,-0.023694551511314693,-0.39596226580045696,1,0,0.044364275540992856,-0.013114275540992856,0,0,0,,0.3098785540189283,0.0809317980713306,0.2289467559475977,0.26117263367114796,-0.0809317980713306,-0.2289467559475977,0,0,0.020658570267928552,-0.020658570267928552
"Tim Hill","NYY","MLB","NYY",0.40175376150560616,0.20401826760775163,-0.1977354938978545,1,1,0,1,1.210068206396837,1.0030249693945428,0.2070432370022943,0.8288995315240971,-0.0030249693945426648,-0.2070432370022943,0,0,0.04481734097766063,-0.007780303940623596,0,0,0,,1.175544159121369,0.6866398265096118,0.48890433261175725,0.5841038136949475,-0.6866398265096118,-0.48890433261175725,0,0,0.05343382541460768,-0.05343382541460768
"Nathan Eovaldi","TEX","MLB","TEX",-1.4324147371866256,0.13474440262714416,1.5671591398137699,2,1,1,0.5,1.6394842118512345,0.7523699046120452,0.8871143072391894,0.45890646532210383,0.24763009538795477,0.11288569276081062,1,1,0.022458687833578555,0.004938572440394048,1,1,0,1,0.994778946698261,0.21380990344224546,0.7809690432560152,0.21493207526344932,0.7861900965577546,-0.7809690432560152,0,0,0.022608612424960477,0.00011866030231225122
"Keegan Thompson","COL","MLB","COL",0.6689019681864494,0.10343524049695968,-0.5654667276894897,1,0,1,,1.489875268425663,0.1932200139643518,1.2966552544613115,0.1296887182834611,-0.1932200139643518,-0.29665525446131147,0,0,0.02442418472828956,-0.00803074210533874,0,0,0,,2.344741631500786,1.4551041795951378,0.8896374519056481,0.6205818841813191,-1.4551041795951378,-0.8896374519056481,0,0,0.08085315970692365,-0.08085315970692365
"Marco Gonzales","SD","MLB","SD",-4.716437506769608,0.001827423528605543,4.718264930298213,1,1,0,1,3.388131674855149,2.193152125663272,1.1949795491918773,0.6473042774398767,-1.1931521256632718,-1.1949795491918773,0,0,0.030251175668349544,-0.021322604239778116,5,5,0,1,2.315927982554796,1.2988315261282906,1.0170964564265037,0.5608255247624305,3.701168473871709,-1.0170964564265037,0,0,0.05263472687624537,0.06100163676011827
"Carlos Lagrange","NYY","MLB","NYY",-1.870995765513389,-0.02536228116969097,1.8456334843436981,1,0,1,,1.455984819229642,0.2406735501996664,1.2153112690299754,0.1652994914651694,-0.2406735501996664,-0.21531126902997544,0,0,0.017755912429629782,-0.005560790478410269,2,2,0,1,2.629839435712746,1.3921029756845238,1.237736460028222,0.5293490381123714,0.6078970243154762,-1.237736460028222,1,0,0.05717042251549448,-0.01369216164592926
"Tarik Skubal","DET","MLB","DET",-3.0117967654872686,-0.09702462643696685,2.9147721390503016,1,1,0,1,2.024916216999767,1.560970421718367,0.4639457952814001,0.7708814856701534,-0.560970421718367,-0.4639457952814001,1,0,0.033748603616662785,-0.01708193694999612,3,3,0,1,0.8154945210184762,0.45036119098408733,0.3651333300343889,0.5522553240721083,2.5496388090159128,-0.3651333300343889,0,0,0.027183150700615874,0.07281684929938413
"Ryan Walker","SF","MLB","SF",2.2485784934083846,-0.21537229608309233,-2.4639507894914767,1,1,0,1,1.525744705321329,1.3705585007022107,0.1551862046191183,0.898288223398137,-0.37055850070221064,-0.1551862046191183,1,0,0.08476359474007383,-0.029208039184518284,2,0,2,,0.968602543328155,0.7162766664098158,0.2523258769183392,0.7394949263179323,-0.7162766664098158,1.747674123081661,0,0,0.06918589595201106,0.07367124690513178
"George Kirby","SEA","MLB","SEA",-3.032169169775467,-0.23771018792241988,2.7944589818530474,2,1,1,0.5,1.3620870885024043,0.7998986382124119,0.5621884502899922,0.5872595408652536,0.20010136178758803,0.4378115497100079,0,0,0.01641068781328198,0.007685697728886695,3,3,0,1,1.9338336775345726,1.0696873478407627,0.8641463296938101,0.5531434064197794,1.9303126521592373,-0.8641463296938101,0,0,0.05089035993512033,0.0280570084859323
