game_id,game_type,year,date,venue_id,team_id_away,team_name_away,score_away,team_id_home,team_name_home,score_home
823244,R,2026,2026-03-25,2395,147,New York Yankees,7,137,San Francisco Giants,0
823649,R,2026,2026-03-26,3289,134,Pittsburgh Pirates,7,121,New York Mets,11
823812,R,2026,2026-03-26,32,145,Chicago White Sox,2,158,Milwaukee Brewers,14
824704,R,2026,2026-03-26,17,120,Washington Nationals,10,112,Chicago Cubs,4
824865,R,2026,2026-03-26,2,142,Minnesota Twins,1,110,Baltimore Orioles,2
824541,R,2026,2026-03-26,2602,111,Boston Red Sox,3,113,Cincinnati Reds,0
824218,R,2026,2026-03-26,2392,108,Los Angeles Angels,3,117,Houston Astros,0
823325,R,2026,2026-03-26,2680,116,Detroit Tigers,8,135,San Diego Padres,2
823081,R,2026,2026-03-26,2889,139,Tampa Bay Rays,7,138,St. Louis Cardinals,9
823486,R,2026,2026-03-26,2681,140,Texas Rangers,3,143,Philadelphia Phillies,5
823974,R,2026,2026-03-26,22,109,Arizona Diamondbacks,2,119,Los Angeles Dodgers,8
823163,R,2026,2026-03-26,680,114,Cleveland Guardians,6,136,Seattle Mariners,4
823243,R,2026,2026-03-27,2395,147,New York Yankees,3,137,San Francisco Giants,0
822839,R,2026,2026-03-27,14,133,Athletics,2,141,Toronto Blue Jays,3
823893,R,2026,2026-03-27,4169,115,Colorado Rockies,1,146,Miami Marlins,2
824946,R,2026,2026-03-27,4705,118,Kansas City Royals,0,144,Atlanta Braves,6
824216,R,2026,2026-03-27,2392,108,Los Angeles Angels,6,117,Houston Astros,2
823324,R,2026,2026-03-27,2680,116,Detroit Tigers,5,135,San Diego Padres,2
823162,R,2026,2026-03-27,680,114,Cleveland Guardians,1,136,Seattle Mariners,5
823971,R,2026,2026-03-27,22,109,Arizona Diamondbacks,4,119,Los Angeles Dodgers,5
823082,R,2026,2026-03-28,2889,139,Tampa Bay Rays,5,138,St. Louis Cardinals,6
824701,R,2026,2026-03-28,17,120,Washington Nationals,2,112,Chicago Cubs,10
822838,R,2026,2026-03-28,14,133,Athletics,7,141,Toronto Blue Jays,8
824862,R,2026,2026-03-28,2,142,Minnesota Twins,4,110,Baltimore Orioles,1
823488,R,2026,2026-03-28,2681,140,Texas Rangers,5,143,Philadelphia Phillies,4
824540,R,2026,2026-03-28,2602,111,Boston Red Sox,5,113,Cincinnati Reds,6
823651,R,2026,2026-03-28,3289,134,Pittsburgh Pirates,2,121,New York Mets,4
823892,R,2026,2026-03-28,4169,115,Colorado Rockies,3,146,Miami Marlins,4
824213,R,2026,2026-03-28,2392,108,Los Angeles Angels,9,117,Houston Astros,11
823811,R,2026,2026-03-28,32,145,Chicago White Sox,1,158,Milwaukee Brewers,6
824945,R,2026,2026-03-28,4705,118,Kansas City Royals,2,144,Atlanta Braves,6
823241,R,2026,2026-03-28,2395,147,New York Yankees,3,137,San Francisco Giants,1
823323,R,2026,2026-03-28,2680,116,Detroit Tigers,0,135,San Diego Padres,3
823973,R,2026,2026-03-28,22,109,Arizona Diamondbacks,2,119,Los Angeles Dodgers,3
823161,R,2026,2026-03-28,680,114,Cleveland Guardians,6,136,Seattle Mariners,5
824864,R,2026,2026-03-29,2,142,Minnesota Twins,6,110,Baltimore Orioles,8
823487,R,2026,2026-03-29,2681,140,Texas Rangers,8,143,Philadelphia Phillies,3
824944,R,2026,2026-03-29,4705,118,Kansas City Royals,4,144,Atlanta Braves,1
822837,R,2026,2026-03-29,14,133,Athletics,2,141,Toronto Blue Jays,5
824538,R,2026,2026-03-29,2602,111,Boston Red Sox,2,113,Cincinnati Reds,3
823647,R,2026,2026-03-29,3289,134,Pittsburgh Pirates,4,121,New York Mets,3
823891,R,2026,2026-03-29,4169,115,Colorado Rockies,3,146,Miami Marlins,4
824215,R,2026,2026-03-29,2392,108,Los Angeles Angels,7,117,Houston Astros,9
823810,R,2026,2026-03-29,32,145,Chicago White Sox,7,158,Milwaukee Brewers,9
823079,R,2026,2026-03-29,2889,139,Tampa Bay Rays,11,138,St. Louis Cardinals,7
824700,R,2026,2026-03-29,17,120,Washington Nationals,6,112,Chicago Cubs,3
823160,R,2026,2026-03-29,680,114,Cleveland Guardians,0,136,Seattle Mariners,8
824135,R,2026,2026-03-30,7,142,Minnesota Twins,1,118,Kansas City Royals,3
824863,R,2026,2026-03-30,2,140,Texas Rangers,5,110,Baltimore Orioles,2
824539,R,2026,2026-03-30,2602,134,Pittsburgh Pirates,0,113,Cincinnati Reds,2
823484,R,2026,2026-03-30,2681,120,Washington Nationals,13,143,Philadelphia Phillies,2
823890,R,2026,2026-03-30,4169,145,Chicago White Sox,9,146,Miami Marlins,4
822834,R,2026,2026-03-30,14,115,Colorado Rockies,14,141,Toronto Blue Jays,5
